"brand_name","generic_name","years_with_data","mean_beneficiaries","latest_beneficiaries","mean_dosage_unit","latest_dosage_unit"
"Eligard","Leuprolide Acetate",9,1335.7,2942,3022.9,7046
"Phenylephrine HCl*","Phenylephrine HCl",10,3381.3,1468,12815.2,7033.5
"Aczone","Dapsone",10,1445.6,51,127974.7,7020
"Cimduo","Lamivudine/Tenofovir Disop Fum",5,32,27,7434,6990
"Yf-Vax","Yellow Fever Vaccine Live/PF",12,2223,6969,2219.4,6972.5
"Suflave","PEG 3350/Sod Sulf,Chlr/Pot/Mag",1,3461,3461,6957,6957
"Granisetron HCl","Granisetron HCl/PF",12,149.2,269,2758,6932
"Binosto","Alendronate Sodium",10,707.1,299,13025.2,6905
"Gauze Pad","Gauze Bandage",7,56.4,77,2969.6,6896
"Nymalize","Nimodipine",4,11.8,NA,6812,6873
"Safetyglide Syringe","Syringe And Needle,Insulin,1ml",10,101.9,197,4101.9,6872
"Diflucan","Fluconazole",12,699.2,279,15879.4,6865
"Sure-Fine Pen Needles","Pen Needle, Diabetic",12,250.6,31,73272.6,6830
"Halcion","Triazolam",12,113.8,70,19536.8,6799
"Eraxis","Anidulafungin",5,159.2,146,30117.4,6793
"Aubra Eq","Levonorgestrel/Ethin.Estradiol",6,49.6,44,7154.7,6748
"Zelapar","Selegiline HCl",12,232.4,22,85601.2,6734
"Methyltestosterone","Methyltestosterone",9,36.3,20,8953.2,6627
"Insumed","Syring-Needl,Disp,Insul,0.3 Ml",12,48.6,20,10723.3,6600
"Zinplava","Bezlotoxumab",7,91,152,4443.6,6592.2
"Clomiphene Citrate","Clomiphene Citrate",10,301.2,155,33980.3,6535
"Norpace","Disopyramide Phosphate",12,52.2,11,32987.8,6510
"Tigan*","Trimethobenzamide HCl",10,515.3,143,16443.7,6472
"Ruconest","C1 Esterase Inhibitor, Recomb",6,69.2,106,6170.7,6450
"Etonogestrel-Ethinyl Estradiol","Etonogestrel/Ethinyl Estradiol",5,1158.2,1036,6953.4,6424
"Vaseretic","Enalapril/Hydrochlorothiazide",12,77.8,30,21694.5,6407
"Sandostatin","Octreotide Acetate",12,84.3,28,15563.9,6373
"Lite Touch","Syring-Needl,Disp,Insul,0.3 Ml",12,204.2,19,63415.8,6370
"Orenitram Month 3 Titration Kt","Treprostinil Diolamine",1,25,25,6300,6300
"Krystexxa","PEGloticase",7,238.2,603,2695.7,6273
"Fentora","Fentanyl Citrate",12,264.6,NA,189961.3,6236
"Ditropan XL","Oxybutynin Chloride",12,455.8,39,127513.6,6192
"Texacort","Hydrocortisone",12,131.5,111,7503.5,6180
"Xofluza","Baloxavir Marboxil",6,7135.5,5900,11029.8,6175
"Lopid","Gemfibrozil",12,83.6,21,27888.3,6164
"Fabior","Tazarotene",7,71.5,35,8640,6150
"Gvoke Hypopen 1-Pack","Glucagon",4,7066.8,15503,2715.2,6110.7
"Vowst","Fecal Microbio Spore,Live-Brpk",1,497,497,6108,6108
"Butalbital Compound-Codeine","Codeine/Butalbital/Asa/Caffein",12,4953.2,55,1933167.4,6078
"Taltz Syringe","Ixekizumab",8,427.4,730,3399.1,6062
"Siliq","Brodalumab",7,208.1,218,4933.2,6050.5
"Ipol","Poliomyelitis Vaccine, Killed",12,2583.2,8305,2523.1,6043.1
"Chemet","Succimer",10,53,24,10688.6,5997
"Ambisome","Amphotericin B Liposome",12,120.4,144,23604.8,5986.7
"Deferoxamine Mesylate","Deferoxamine Mesylate",12,59.2,35,12740.3,5959.5
"Vpriv","Velaglucerase Alfa",12,20.5,23,5390.3,5913
"Maxidex","Dexamethasone",12,952.4,617,9493.5,5870
"Alburx","Albumin Human",2,NA,NA,11900,5800
"Monoject","Syringe-Needle,Insulin,0.5 Ml",12,42.2,23,8450.1,5800
"Epiduo Forte","Adapalene/Benzoyl Peroxide",9,236.3,50,21661.7,5760
"Oralair","Gr Pol-Orc/Sw Ver/Rye/Kent/Tim",8,40.4,26,7286.2,5760
"Vijoice","Alpelisib",2,31,31,3808,5740
"Opdualag","Nivolumab-Relatlimab-Rmbw",2,25,31,4220,5720
"Ketodan","Ketoconazole",4,27.2,33,4625,5700
"Avsola","Infliximab-Axxq",3,130.7,256,3631.7,5690
"Trelstar","Triptorelin Pamoate",8,1797.8,2074,4417.5,5660
"Vylibra","Norgestimate-Ethinyl Estradiol",6,47.3,41,5987.3,5656
"Femynor","Norgestimate-Ethinyl Estradiol",7,494.1,76,84213.9,5628
"Hemady","Dexamethasone",4,226.7,303,3324.4,5605
"Pyridium","Phenazopyridine HCl",9,181.8,298,5053.3,5580
"Humalog Tempo Pen U-100","Insulin Lispro",1,190,190,5574,5574
"Healthwise Insulin Syringe","Syring-Needl,Disp,Insul,0.3 Ml",3,23.5,26,4860.7,5540
"Autoshield Pen Needle","Pen Needle, Diabetic, Safety",12,1310.4,27,454374.4,5532
"Cytotec","Misoprostol",12,34.2,22,12815.6,5525
"Symbyax","Olanzapine/Fluoxetine HCl",12,717.1,28,123347.1,5468
"Isopto Atropine","Atropine Sulfate",6,4422.9,741,46940.9,5461
"Prodigy Insulin Syringe","Syringe-Needle,Insulin,0.5 Ml",12,239.1,38,62556,5450
"Cystadrops","Cysteamine HCl",4,35.5,30,5090,5420
"Denavir","Penciclovir",10,6777.8,521,51800.8,5415
"Hydrocodone-Chlorpheniramne ER","Hydrocodone/Chlorphen P-Stirex",12,1588.9,42,327577.7,5407.5
"Methamphetamine HCl","Methamphetamine HCl",11,270,39,202354.1,5399
"Hyoscyamine Sulfate ER","Hyoscyamine Sulfate",12,122,21,25259.7,5377
"Cipro","Ciprofloxacin HCl",12,643.3,199,21665.8,5351
"Cholbam","Cholic Acid",5,NA,NA,3514.6,5340
"Glynase","Glyburide,Micronized",12,60.7,NA,19695.7,5320
"Nulojix","Belatacept",12,195,269,3712.9,5318.25
"Oscimin Sl","Hyoscyamine Sulfate",12,106.8,33,13698.7,5297
"Alomide","Lodoxamide Tromethamine",12,340.9,190,9555.1,5280
"Elaprase","Idursulfase",12,12,NA,5459.6,5247
"Cosentyx Unoready Pen","Secukinumab",1,774,774,5233,5233
"Vyepti","Eptinezumab-Jjmr",4,580.5,1035,2595.5,5231
"Hetlioz Lq","Tasimelteon",2,NA,NA,4064,5224
"Cleocin T","Clindamycin Phosphate",12,56.3,28,7893.6,5220
"Minipress","Prazosin HCl",12,27.5,15,11086.7,5213
"Qutenza","Capsaicin/Skin Cleanser",6,718.3,2442,1775.8,5201
"Vizimpro","Dacomitinib",5,34.2,35,5071.8,5190
"Bendeka","Bendamustine HCl",8,83.6,100,4095.9,5188
"Aptensio XR","Methylphenidate HCl",8,68.4,36,10918.4,5144
"Tri-Vylibra","Norgestimate-Ethinyl Estradiol",6,37,28,4657.3,5124
"Ortikos","Budesonide",4,136.2,108,7779.2,5108
"Humira(Cf) Pen Psor-Uv-Adol Hs","Adalimumab",6,1884.2,1681,5750.9,5107
"Eulexin","Flutamide",2,15.5,19,4543,5106
"Naprelan","Naproxen Sodium",10,371.4,24,59007.2,5095
"Hyftor","Sirolimus",2,37,58,2815,5050
"Menveo A-C-Y-W-135-Dip","Mening Vac A,C,Y,W-135 Dip/PF",10,2024.6,4758,2206.2,5041.858
"Protonix IV","Pantoprazole Sodium",12,319.3,56,55562.9,5009
"Stalevo 50","Carbidopa/Levodopa/Entacapone",9,351.3,NA,175503,5008
"Completenate","Prenatal Vit 14/Iron Fum/Folic",10,62.9,41,7852,4995
"Progesterone","Progesterone",12,83.7,109,2968.2,4980
"Signifor","Pasireotide Diaspartate",8,21.7,18,6933,4980
"Besremi","Ropeginterferon Alfa-2b-Njft",2,272.5,333,3828,4974
"Tdvax","Tetanus, Diphtheria Tox,Adult",9,9987,9111,7778.8,4970
"Loestrin Fe","Norethindrone-E.Estradiol-Iron",9,43.7,42,6200.4,4956
"Vitafol Ultra","PNV 67/Iron Ps/Folate No.1/DHA",10,187.6,77,15715.8,4948
"Levoleucovorin Calcium","Levoleucovorin Calcium",7,24.7,NA,3745.4,4935
"Orkambi","Lumacaftor/IVacaftor",9,343,NA,162110,4928
"Famotidine","Famotidine In NaCl,Iso-Osm/PF",12,65.2,52,21447.6,4911
"Xeomin","Incobotulinumtoxina",12,379.1,1108,1790.6,4905
"Vitafol Gummies","PNV 112/Iron/Folic/Om3/DHA/EPA",8,62,33,13914.4,4876
"Nalfon","Fenoprofen Calcium",10,314.5,19,60999,4860
"Clodan","Clobetasol Propionate",10,41,17,8251.9,4838
"NPlate","Romiplostim",12,160.7,223,3479.8,4833.576
"Gauze Bandage","Gauze Bandage",10,84.5,95,3469.6,4800
"Tobi","Tobramycin In 0.225% Sod Chlor",6,52.2,NA,17286.7,4800
"Onivyde","Irinotecan Liposomal",6,16.4,24,2608.3,4760
"Kenalog-10","Triamcinolone Acetonide",12,325.1,190,19342.6,4745
"Kloxxado","Naloxone HCl",3,1384.7,1754,3509.6,4731.4
"Veregen","Sinecatechins",11,180,71,10703.2,4710
"Aurovela 24 Fe","Norethindrone-E.Estradiol-Iron",5,183.8,50,25205.6,4704
"Phenytoin Sodium","Phenytoin Sodium",12,43.7,11,18081.2,4668
"Tivicay Pd","Dolutegravir Sodium",3,NA,NA,3800,4650
"Tarina 24 Fe","Norethindrone-E.Estradiol-Iron",4,28.3,30,3122,4648
"Daurismo","Glasdegib Maleate",5,109.2,62,7928,4632
"Gammagard S-D","Immun Glob G/Gly/Gluc/IgA 0-50",11,70.7,84,7081.8,4630
"Sure Comfort Safety Pen Needle","Pen Needle, Diabetic, Safety",1,14,14,4630,4630
"Valcyte","Valganciclovir HCl",12,4930.1,33,921588.8,4614
"Minastrin 24 Fe","Norethindrone-E.Estradiol-Iron",9,191.2,17,20246.4,4584
"Cerebyx","Fosphenytoin Sodium",8,21,NA,3231.2,4551
