"brand_name","generic_name","years_with_data","mean_beneficiaries","latest_beneficiaries","mean_dosage_unit","latest_dosage_unit"
"Alcohol Prep Pads","Alcohol Antiseptic Pads",12,168357.2,178376,76051752.5,69614431.665
"Alfuzosin HCl ER","Alfuzosin HCl",12,164485.2,271716,39134138.2,69289185
"Folic Acid*","Folic Acid",10,101305.8,271059,24428408.5,69042058.443
"Buprenorphine-Naloxone","Buprenorphine HCl/Naloxone HCl",11,66055.2,148389,26272572.5,68488687.211
"Calcitriol*","Calcitriol",10,280262,310587,59133380.8,68076369.213
"Hydromorphone HCl*","Hydromorphone HCl",10,257293.6,234154,89099798.3,68039665.98
"Clozapine","Clozapine",12,64238.7,64860,71780562,66852440.448
"Clotrimazole-Betamethasone","Clotrimazole/Betamethasone Dip",12,830057.7,919463,61320257.5,66491142.03
"Olmesartan-Hydrochlorothiazide","Olmesartan/Hydrochlorothiazide",8,179114.6,234430,42060248.7,66139605.824
"Lidocaine","Lidocaine",12,450161.8,481042,81333935.2,65554210.952
"Clenpiq","Sod Picosulf/Mag Ox/Citric Ac",6,73034.8,184930,24518404.4,64467260
"Venlafaxine HCl","Venlafaxine HCl",12,190925,167773,70101034,63783984.5
"Liothyronine Sodium*","Liothyronine Sodium",10,126714.7,171270,42611123.3,63179622.851
"Azithromycin*","Azithromycin",10,5506938.5,5970026,55336899.1,62039177.252
"Ursodiol","Ursodiol",12,80253.8,102032,45838119.1,61904329.5
"Tacrolimus*","Tacrolimus",10,110323.3,204385,44387830.2,61473531.312
"Isosorbide Dinitrate","Isosorbide Dinitrate",12,138788.1,129460,62994853.8,60532704.023
"Dutasteride","Dutasteride",9,188887,224682,44381457,60447761
"Repaglinide","Repaglinide",11,73030.2,85718,44927924.4,60315626.5
"Nitrofurantoin Mono-Macro","Nitrofurantoin Monohyd/M-Cryst",12,1737407.9,2638012,42287971.9,58828505.739
"Ipratropium Bromide*","Ipratropium Bromide",10,501996.1,743544,43880147.9,58613294.476
"Colestipol HCl","Colestipol HCl",12,95106.2,141803,41002926.7,58368980.576
"Carbamazepine ER","Carbamazepine",12,73587.4,83596,50816934.3,58296211.905
"Diphenoxylate-Atropine","Diphenoxylate HCl/Atropine",12,338676.7,309660,61958766.5,57646820
"Methadone HCl*","Methadone HCl",10,111216,68081,114837297.5,57321176.5
"Ventolin HFA","Albuterol Sulfate",12,1683298.1,956475,93155736.1,57138959.382
"Zonisamide","Zonisamide",12,57628.9,69343,43256711.5,56883301.16
